Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,131 kB/s,0
0.0,0.0,0,0,1.01 MB/s,0
0.0,0.1,0,0,2.09 MB/s,0
0.0,0.1,0,0,3.16 MB/s,0
0.0,0.2,0,0,4.39 MB/s,0
0.0,0.3,0,0,5.61 MB/s,0
0.0,0.4,0,0,6.70 MB/s,0
0.0,0.4,0,1,7.95 MB/s,0
0.0,0.5,0,1,8.94 MB/s,0
0.0,0.6,0,1,10.03 MB/s,0
0.0,0.6,0,1,10.41 MB/s,0
0.0,0.7,0,2,10.42 MB/s,0
0.0,0.8,0,2,10.36 MB/s,0
0.0,0.8,0,2,10.36 MB/s,0
0.0,0.9,0,3,10.30 MB/s,0
0.0,1.0,0,3,10.45 MB/s,0
0.0,1.0,0,3,10.81 MB/s,0
0.0,1.1,0,3,10.75 MB/s,0
0.0,1.2,0,4,10.89 MB/s,0
0.0,1.3,0,4,10.93 MB/s,0
0.0,1.3,0,4,10.81 MB/s,0
0.0,1.4,0,4,11.01 MB/s,0
0.0,1.5,0,5,10.99 MB/s,0
0.0,1.6,0,6,11.00 MB/s,0
0.0,1.6,0,7,10.90 MB/s,0
0.0,1.7,0,8,10.77 MB/s,0
0.0,1.8,0,8,10.68 MB/s,0
0.0,1.8,0,8,10.50 MB/s,0
0.0,1.9,0,8,10.32 MB/s,0
0.0,2.0,0,9,10.50 MB/s,0
0.0,2.0,0,10,10.39 MB/s,0
0.0,2.1,0,10,10.38 MB/s,0
0.0,2.2,0,10,10.38 MB/s,0
0.0,2.3,1,12,10.50 MB/s,0
10.0,2.4,1,12,10.61 MB/s,0
10.0,2.5,1,12,10.63 MB/s,0
10.0,2.5,1,13,10.71 MB/s,0
10.0,2.6,1,14,10.85 MB/s,0
10.0,2.7,1,14,10.93 MB/s,0
10.0,2.8,1,14,11.10 MB/s,0
10.0,2.8,1,14,11.02 MB/s,0
10.0,2.9,1,15,10.93 MB/s,0
10.0,3.0,1,17,11.00 MB/s,0
10.0,3.1,1,17,11.07 MB/s,0
10.0,3.1,1,17,11.10 MB/s,0
10.0,3.2,2,18,11.17 MB/s,0
10.0,3.3,3,19,11.10 MB/s,0
10.0,3.4,4,20,12.41 MB/s,0
10.0,3.4,4,20,12.22 MB/s,0
10.0,3.5,4,20,12.25 MB/s,0
10.0,3.6,4,20,12.34 MB/s,0
10.0,3.7,4,20,12.32 MB/s,0
10.0,3.7,4,20,12.30 MB/s,0
10.0,3.8,4,20,12.18 MB/s,0
10.0,3.9,4,20,12.27 MB/s,0
10.0,4.0,4,20,12.26 MB/s,0
10.0,4.0,5,20,12.19 MB/s,0
10.0,4.1,5,20,12.14 MB/s,0
10.0,4.2,4,20,12.15 MB/s,0
10.0,4.2,4,21,12.11 MB/s,0
10.0,4.3,4,21,12.18 MB/s,0
10.0,4.4,4,21,12.27 MB/s,0
10.0,4.5,4,21,12.22 MB/s,0
10.0,4.5,4,21,12.26 MB/s,0
10.0,4.6,4,21,12.21 MB/s,0
10.0,4.7,4,21,12.12 MB/s,0
10.0,4.8,4,21,11.95 MB/s,0
10.0,4.8,4,21,12.22 MB/s,0
10.0,4.9,4,21,12.18 MB/s,0
10.0,5.0,4,21,12.12 MB/s,0
10.0,5.1,4,21,12.06 MB/s,0
10.0,5.1,4,19,12.15 MB/s,0
10.0,5.2,4,19,11.82 MB/s,0
10.0,5.3,4,19,11.93 MB/s,0
10.0,5.3,4,19,11.81 MB/s,0
10.0,5.4,4,19,11.91 MB/s,0
10.0,5.5,4,19,12.15 MB/s,0
10.0,5.6,4,19,12.07 MB/s,0
10.0,5.7,4,19,12.00 MB/s,0
10.0,5.7,4,19,11.83 MB/s,0
10.0,5.8,4,19,11.44 MB/s,0
10.0,5.8,4,19,11.10 MB/s,0
