Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
11.0,0.0,0,0.0,0.0,0
20.0,0.0,0,0.0,0.0,0
21.0,0.0,0,4.5,0.0,0
30.0,0.0,0,16.666666666666668,0.0,0
31.0,0.0,0,29.204545454545453,1.24,0
41.0,0.2,18,48.69047619047619,4.52,0
42.0,1.3,27,50.0,4.42,0
51.0,1.6,40,50.095238095238095,4.65,0
52.0,3.0,44,50.125,4.43,0
61.0,3.3,44,49.53333333333333,4.78,0
62.0,4.3,44,50.0,4.53,0
71.0,5.1,45,50.0,4.78,0
72.0,6.3,46,50.0,4.59,0
81.0,6.8,46,50.0,4.67,0
82.0,7.4,44,49.27272727272727,4.44,0
92.0,8.5,42,47.568627450980394,4.71,0
102.0,10.0,36,50.02,2.98,0
112.0,11.0,43,48.47826086956522,2.46,0
113.0,11.8,43,47.0,2.0,0
122.0,11.8,43,47.57142857142857,2.34,0
123.0,12.4,42,46.8,2.4,0
132.0,12.6,43,47.333333333333336,2.5,0
142.0,13.5,41,49.0,2.2,0
143.0,13.7,41,48.94444444444444,2.43,0
152.0,14.4,42,49.0,2.11,0
153.0,14.4,42,48.9375,2.45,0
163.0,15.2,42,46.549019607843135,2.21,0
173.0,16.0,38,46.46,2.66,0
183.0,16.9,35,44.0,2.33,0
184.0,17.0,35,44.333333333333336,2.41,0
193.0,17.7,37,44.0,2.55,0
194.0,17.8,37,41.604651162790695,2.54,0
204.0,18.5,33,39.72549019607843,2.7,0
214.0,19.4,32,37.09803921568628,2.73,0
224.0,20.3,29,34.0,2.44,0
225.0,20.8,29,34.0,2.52,0
234.0,21.1,29,34.0,2.48,0
235.0,21.3,29,31.097560975609756,2.38,0
244.0,22.0,27,30.166666666666668,2.29,0
245.0,22.4,27,30.615384615384617,2.3,0
255.0,22.8,28,33.5,2.37,0
256.0,23.5,31,36.44444444444444,2.45,0
265.0,23.6,31,39.921052631578945,2.76,0
266.0,24.3,33,40.0,2.71,0
275.0,24.6,34,42.0,2.87,0
276.0,25.4,38,44.0,2.61,0
285.0,25.6,37,44.0,2.91,0
286.0,25.9,38,44.0,2.65,0
295.0,26.5,42,43.05882352941177,2.68,0
296.0,26.9,42,44.0,2.85,0
306.0,27.5,42,45.745098039215684,3.0,0
316.0,28.5,42,49.92,2.86,0
326.0,29.5,46,50.0,2.82,0
327.0,30.0,46,49.285714285714285,2.6,0
336.0,30.4,45,49.62,2.66,0
346.0,31.4,42,49.627450980392155,3.03,0
356.0,32.4,42,50.0,2.62,0
357.0,32.4,42,50.0,2.95,0
367.0,33.3,45,50.0,2.73,0
377.0,34.3,44,48.225,2.65,0
378.0,35.0,42,46.81818181818182,2.76,0
387.0,35.2,43,49.57575757575758,2.85,0
388.0,35.9,44,49.1764705882353,3.05,0
397.0,36.2,44,50.21052631578947,2.92,0
398.0,36.6,43,49.125,2.64,0
407.0,37.2,42,49.5609756097561,2.86,0
408.0,38.0,43,50.0,2.72,0
417.0,38.2,43,50.0,2.71,0
418.0,38.2,43,49.82222222222222,2.88,0
419.0,39.1,41,48.0,2.61,0
428.0,39.2,41,49.125,2.92,0
429.0,40.1,41,50.0,2.41,0
438.0,40.1,41,50.05882352941177,2.65,0
448.0,41.0,41,48.627450980392155,2.71,0
458.0,42.0,38,49.88,2.67,0
468.0,42.9,39,49.0,2.65,0
469.0,43.5,41,49.833333333333336,2.83,0
478.0,43.8,40,49.46153846153846,3.11,0
479.0,44.4,42,50.0,2.85,0
489.0,44.9,42,48.96078431372549,2.91,0
499.0,45.9,43,49.2,2.65,0
509.0,46.8,45,49.76470588235294,2.81,0
519.0,47.8,46,49.76470588235294,2.88,0
529.0,48.8,42,50.06,2.87,0
539.0,49.7,46,48.5609756097561,2.74,0
540.0,50.5,43,47.0,2.69,0
549.0,50.7,43,47.0,2.6,0
550.0,51.2,42,45.68181818181818,2.72,0
560.0,51.6,41,45.745098039215684,2.72,0
570.0,52.5,42,47.52,2.86,0
580.0,53.5,41,47.05882352941177,2.92,0
590.0,54.5,42,48.509803921568626,2.76,0
600.0,55.5,43,47.0,2.99,0
610.0,56.4,42,49.80952380952381,2.91,0
611.0,57.2,42,50.0,2.61,0
620.0,57.3,47,49.6,3.04,0
621.0,58.0,47,49.8,2.82,0
631.0,58.3,48,50.01960784313726,2.81,0
641.0,59.3,48,49.8,2.54,0
651.0,60.2,47,48.666666666666664,2.57,0
661.0,61.1,45,49.6078431372549,2.85,0
671.0,62.0,47,49.96,2.7,0
681.0,62.9,48,49.583333333333336,2.74,0
682.0,63.8,48,50.0,2.47,0
691.0,63.8,48,48.97222222222222,2.77,0
692.0,64.5,47,49.642857142857146,2.53,0
702.0,64.8,46,48.470588235294116,2.79,0
712.0,65.8,46,48.87755102040816,2.85,0
722.0,66.7,45,49.705882352941174,2.98,0
732.0,67.6,45,49.666666666666664,2.57,0
742.0,68.5,43,49.36,2.76,0
752.0,69.5,42,49.142857142857146,2.8,0
753.0,70.2,39,49.888888888888886,2.66,0
762.0,70.4,39,49.75,2.89,0
763.0,71.1,39,50.0,2.54,0
773.0,71.3,40,49.64705882352941,2.72,0
